State,District,Year,Rice,,,,,,,,,,,,,,,,,
,,,Kharif,,,Autumn,,,Rabi,,,Summer,,,Winter,,,Whole Year,,
,,2019 - 2020,"13,529.00","15,383.00",1.14,,,,,,,,,,,,,,,
,,2020 - 2021,"13,339.00","17,324.00",1.3,,,,,,,,,,,,,,,
,,2021 - 2022,"10,704.00","14,741.00",1.38,,,,,,,,,,,,,,,
,,2022 - 2023,"11,574.00","12,679.00",1.1,,,,,,,,,,,,,,,
,2. Bageshwar,2000 - 2001,"13,020.00","25,585.00",1.97,,,,,,,,,,,,,,,
,,2001 - 2002,"14,239.00","17,553.00",1.23,,,,,,,,,,,,,,,
,,2002 - 2003,"13,348.00","13,177.00",0.99,,,,,,,,,,,,,,,
,,2003 - 2004,"12,602.00","18,981.00",1.51,,,,,,,,,,,,,,,
,,2004 - 2005,"12,481.00","16,619.00",1.33,,,,,,,,,,,,,,,
,,2005 - 2006,"15,699.00","22,304.00",1.42,,,,,,,,,,,,,,,
,,2006 - 2007,"13,759.00","16,922.00",1.23,,,,,,,,,,,,,,,
,,2007 - 2008,"12,781.00","16,239.00",1.27,,,,,,,,,,,,,,,
,,2008 - 2009,"14,862.00","20,439.00",1.38,,,,,,,,,,,,,,,
,,2009 - 2010,"12,629.00","16,972.00",1.34,,,,,,,,,,,,,,,
,,2010 - 2011,"13,700.00","16,519.00",1.21,,,,,,,,,,,,,,,
,,2011 - 2012,"13,727.00","19,455.00",1.42,,,,,,,,,,,,,,,
,,2012 - 2013,"13,272.00","19,740.00",1.49,,,,,,,,,,,,,,,
,,2013 - 2014,"13,580.00","19,492.00",1.44,,,,,,,,,,,,,,,
,,2014 - 2015,"13,130.00","19,916.00",1.52,,,,,,,,,,,,,,,
,,2015 - 2016,"14,365.00","20,076.00",1.4,,,,,,,,,,,,,,,
,,2016 - 2017,"13,994.00","20,710.00",1.48,,,,,,,,,,,,,,,
,,2017 - 2018,"14,400.00","19,105.00",1.33,,,,,,,,,,,,,,,
,,2018 - 2019,"13,747.00","16,848.00",1.23,,,,,,,,,,,,,,,
,,2019 - 2020,"13,324.00","21,624.00",1.62,,,,,,,,,,,,,,,
,,2020 - 2021,"13,117.00","20,729.00",1.58,,,,,,,,,,,,,,,
,,2021 - 2022,"12,925.00","20,802.00",1.61,,,,,,,,,,,,,,,
,,2022 - 2023,"11,929.00","18,570.00",1.56,,,,,,,,,,,,,,,
,3. Chamoli,2000 - 2001,"14,294.00","15,263.00",1.07,,,,,,,,,,,,,,,
,,2001 - 2002,"11,108.00","13,503.00",1.22,,,,,,,,,,,,,,,
,,2002 - 2003,"11,321.00","12,945.00",1.14,,,,,,,,,,,,,,,
,,2003 - 2004,"14,193.00","17,611.00",1.24,,,,,,,,,,,,,,,
,,2004 - 2005,"12,768.00","16,579.00",1.3,,,,,,,,,,,,,,,
,,2005 - 2006,"10,219.00","14,658.00",1.43,,,,,,,,,,,,,,,
,,2006 - 2007,"12,317.00","16,421.00",1.33,,,,,,,,,,,,,,,
,,2007 - 2008,"11,905.00","17,754.00",1.49,,,,,,,,,,,,,,,
,,2008 - 2009,"11,714.00","15,380.00",1.31,,,,,,,,,,,,,,,
,,2009 - 2010,"11,673.00","13,813.00",1.18,,,,,,,,,,,,,,,
,,2010 - 2011,"12,407.00","17,532.00",1.41,,,,,,,,,,,,,,,
,,2011 - 2012,"11,001.00","14,557.00",1.32,,,,,,,,,,,,,,,
,,2012 - 2013,"11,983.00","16,414.00",1.37,,,,,,,,,,,,,,,
,,2013 - 2014,"11,779.00","15,234.00",1.29,,,,,,,,,,,,,,,
,,2014 - 2015,"11,265.00","14,414.00",1.28,,,,,,,,,,,,,,,
,,2015 - 2016,"11,551.00","14,902.00",1.29,,,,,,,,,,,,,,,
,,2016 - 2017,"11,451.00","14,881.00",1.3,,,,,,,,,,,,,,,
,,2017 - 2018,"11,027.00","16,055.00",1.46,,,,,,,,,,,,,,,
,,2018 - 2019,"11,570.00","14,094.00",1.22,,,,,,,,,,,,,,,
,,2019 - 2020,"10,433.00","13,831.00",1.33,,,,,,,,,,,,,,,
,,2020 - 2021,"11,536.00","18,444.00",1.6,,,,,,,,,,,,,,,
,,2021 - 2022,"10,444.00","15,068.00",1.44,,,,,,,,,,,,,,,
,,2022 - 2023,"8,988.00","13,009.00",1.45,,,,,,,,,,,,,,,
,4. Champawat,2000 - 2001,"11,388.00","13,786.00",1.21,,,,,,,,,,,,,,,
,,2001 - 2002,"11,458.00","13,187.00",1.15,,,,3,4,1.33,,,,,,,,,
,,2002 - 2003,"8,625.00","10,526.00",1.22,,,,,,,,,,,,,,,
,,2003 - 2004,"8,726.00","11,134.00",1.28,,,,,,,,,,,,,,,
,,2004 - 2005,"9,861.00","12,201.00",1.24,,,,,,,,,,,,,,,
,,2005 - 2006,"9,395.00","11,923.00",1.27,,,,,,,,,,,,,,,
,,2006 - 2007,"10,109.00","12,137.00",1.2,,,,,,,,,,,,,,,
,,2007 - 2008,"6,948.00","9,490.00",1.37,,,,,,,,,,,,,,,
,,2008 - 2009,"10,060.00","9,498.00",0.94,,,,,,,,,,,,,,,
,,2009 - 2010,"6,848.00","8,222.00",1.2,,,,,,,,,,,,,,,
,,2010 - 2011,"7,216.00","7,455.00",1.03,,,,10,,0,,,,,,,,,
,,2011 - 2012,"7,360.00","9,130.00",1.24,,,,,,,,,,,,,,,
,,2012 - 2013,"6,006.00","8,150.00",1.36,,,,,,,,,,,,,,,
,,2013 - 2014,"6,406.00","9,417.00",1.47,,,,,,,,,,,,,,,
,,2014 - 2015,"6,312.00","8,191.00",1.3,,,,,,,,,,,,,,,
,,2015 - 2016,"5,947.00","8,353.00",1.4,,,,,,,,,,,,,,,
,,2016 - 2017,"6,206.00","8,963.00",1.44,,,,,,,,,,,,,,,
,,2017 - 2018,"5,192.00","9,112.00",1.76,,,,,,,,,,,,,,,
,,2018 - 2019,"5,297.00","8,154.00",1.54,,,,,,,,,,,,,,,
,,2019 - 2020,"4,949.00","7,262.00",1.47,,,,,,,,,,,,,,,
,,2020 - 2021,"4,317.00","6,334.00",1.47,,,,,,,,,,,,,,,
,,2021 - 2022,"3,695.00","4,844.00",1.31,,,,,,,,,,,,,,,
,,2022 - 2023,"3,422.00","4,428.00",1.29,,,,,,,,,,,,,,,
,5. Dehradun,2000 - 2001,"13,786.00","25,606.00",1.86,,,,,,,,,,,,,,,
,,2001 - 2002,"13,364.00","24,396.00",1.83,,,,,,,,,,,,,,,
,,2002 - 2003,"13,106.00","25,244.00",1.93,,,,,,,,,,,,,,,
,,2003 - 2004,"13,220.00","27,981.00",2.12,,,,,,,,,,,,,,,
,,2004 - 2005,"12,317.00","23,415.00",1.9,,,,,,,,,,,,,,,
,,2005 - 2006,"12,344.00","25,667.00",2.08,,,,,,,,,,,,,,,
,,2006 - 2007,"12,091.00","24,734.00",2.05,,,,,,,,,,,,,,,
,,2007 - 2008,"11,795.00","25,112.00",2.13,,,,,,,,,,,,,,,
,,2008 - 2009,"11,428.00","23,706.00",2.07,,,,,,,,,,,,,,,
,,2009 - 2010,"11,168.00","21,268.00",1.9,,,,,,,,,,,,,,,
,,2010 - 2011,"11,193.00","21,827.00",1.95,,,,,,,,,,,,,,,
,,2011 - 2012,"10,905.00","23,083.00",2.12,,,,,,,,,,,,,,,
,,2012 - 2013,"11,047.00","22,704.00",2.06,,,,,,,,,,,,,,,
,,2013 - 2014,"10,112.00","21,537.00",2.13,,,,,,,,,,,,,,,
,,2014 - 2015,"9,179.00","17,672.00",1.93,,,,,,,,,,,,,,,
,,2015 - 2016,"10,254.00","22,126.00",2.16,,,,,,,,,,,,,,,
,,2016 - 2017,"10,185.00","20,738.00",2.04,,,,,,,,,,,,,,,
,,2017 - 2018,"9,292.00","19,562.00",2.11,,,,,,,,,,,,,,,
,,2018 - 2019,"8,631.00","20,278.00",2.35,,,,,,,,,,,,,,,
,,2019 - 2020,"8,397.00","22,995.00",2.74,,,,,,,,,,,,,,,
,,2020 - 2021,"8,801.00","25,194.00",2.86,,,,,,,,,,,,,,,
,,2021 - 2022,"8,713.00","22,691.00",2.6,,,,,,,,,,,,,,,
,,2022 - 2023,"8,038.00","15,809.00",1.97,,,,,,,,,,,,,,,
,6. Haridwar,2000 - 2001,"23,046.00","48,675.00",2.11,,,,,,,,,,,,,,,
,,2001 - 2002,"21,616.00","45,520.00",2.11,,,,2,4,2,,,,,,,,,
,,2002 - 2003,"16,208.00","34,127.00",2.11,,,,,,,,,,,,,,,
,,2003 - 2004,"18,833.00","38,260.00",2.03,,,,,,,2,7,3.5,,,,,,
,,2004 - 2005,"19,891.00","45,130.00",2.27,,,,,,,,,,,,,,,
,,2005 - 2006,"17,137.00","31,462.00",1.84,,,,,,,,,,,,,,,
,,2006 - 2007,"12,611.00","24,586.00",1.95,,,,,,,,,,,,,,,
,,2007 - 2008,"10,953.00","24,659.00",2.25,,,,,,,2,7,3.5,,,,,,
,,2008 - 2009,"17,140.00","37,098.00",2.16,,,,,,,1,3,3,,,,,,
,,2009 - 2010,"19,245.00","42,373.00",2.2,,,,,,,,,,,,,,,
,,2010 - 2011,"18,237.00","29,285.00",1.61,,,,16,38,2.38,,,,,,,,,
,,2011 - 2012,"15,440.00","30,652.00",1.99,,,,,,,,,,,,,,,
,,2012 - 2013,"13,575.00","30,673.00",2.26,,,,,,,,,,,,,,,
,,2013 - 2014,"11,781.00","23,232.00",1.97,,,,,,,5,17,3.4,,,,,,
,,2014 - 2015,"12,985.00","28,856.00",2.22,,,,,,,48,151,3.15,,,,,,
,,2015 - 2016,"14,269.00","30,559.00",2.14,,,,,,,4,15,3.75,,,,,,
,,2016 - 2017,"14,882.00","30,430.00",2.04,,,,,,,12,45,3.75,,,,,,
,,2017 - 2018,"13,455.00","32,765.00",2.44,,,,,,,4,13,3.25,,,,,,
,,2018 - 2019,"14,116.00","31,586.00",2.24,,,,,,,11,36,3.27,,,,,,
,,2019 - 2020,"15,171.00","38,584.00",2.54,,,,,,,23,82,3.57,,,,,,
,,2020 - 2021,"15,648.00","38,140.00",2.44,,,,,,,2,7,3.5,,,,,,
,,2021 - 2022,"15,754.00","38,597.00",2.45,,,,,,,27,103,3.81,,,,,,
,,2022 - 2023,"14,570.00","32,930.00",2.26,,,,,,,27,93,3.44,,,,,,
,7. Nainital,2000 - 2001,"15,012.00","36,426.00",2.43,,,,42,131,3.12,,,,,,,,,
,,2001 - 2002,"15,546.00","37,644.00",2.42,,,,54,138,2.56,,,,,,,,,
,,2002 - 2003,"11,960.00","28,567.00",2.39,,,,80,220,2.75,,,,,,,,,
,,2003 - 2004,"11,985.00","30,665.00",2.56,,,,,,,117,437,3.74,,,,,,
,,2004 - 2005,"12,032.00","29,665.00",2.47,,,,,,,116,345,2.97,,,,,,
,,2005 - 2006,"12,251.00","32,381.00",2.64,,,,,,,127,381,3,,,,,,
,,2006 - 2007,"11,584.00","29,414.00",2.54,,,,107,337,3.15,,,,,,,,,
,,2007 - 2008,"12,778.00","32,173.00",2.52,,,,,,,45,152,3.38,,,,,,
,,2008 - 2009,"13,320.00","29,248.00",2.2,,,,,,,164,516,3.15,,,,,,
,,2009 - 2010,"13,190.00","38,931.00",2.95,,,,141,402,2.85,,,,,,,,,
,,2010 - 2011,"12,543.00","29,300.00",2.34,,,,124,410,3.31,,,,,,,,,
,,2011 - 2012,"12,914.00","36,461.00",2.82,,,,,,,140,463,3.31,,,,,,
,,2012 - 2013,"11,777.00","34,682.00",2.94,,,,,,,176,565,3.21,,,,,,
,,2013 - 2014,"12,158.00","31,691.00",2.61,,,,,,,177,589,3.33,,,,,,
,,2014 - 2015,"11,597.00","32,544.00",2.81,,,,,,,196,617,3.15,,,,,,
,,2015 - 2016,"11,236.00","31,904.00",2.84,,,,,,,180,692,3.84,,,,,,
,,2016 - 2017,"10,939.00","30,930.00",2.83,,,,,,,151,571,3.78,,,,,,
,,2017 - 2018,"10,925.00","37,424.00",3.43,,,,,,,155,498,3.21,,,,,,
,,2018 - 2019,"11,338.00","36,136.00",3.19,,,,,,,167,549,3.29,,,,,,
,,2019 - 2020,"11,471.00","37,563.00",3.27,,,,,,,172,613,3.56,,,,,,
,,2020 - 2021,"11,862.00","40,322.00",3.4,,,,,,,147,528,3.59,,,,,,
,,2021 - 2022,"11,680.00","38,891.00",3.33,,,,,,,187,713,3.81,,,,,,
,,2022 - 2023,"11,722.00","35,342.00",3.02,,,,,,,427,"1,474.00",3.45,,,,,,
,8. Pauri garhwal,2000 - 2001,"21,654.00","23,225.00",1.07,,,,,,,,,,,,,,,
,,2001 - 2002,"22,633.00","25,051.00",1.11,,,,,,,,,,,,,,,
,,2002 - 2003,"24,263.00","17,844.00",0.74,,,,,,,,,,,,,,,
,,2003 - 2004,"23,354.00","26,596.00",1.14,,,,,,,,,,,,,,,
,,2004 - 2005,"21,854.00","25,259.00",1.16,,,,,,,,,,,,,,,
,,2005 - 2006,"22,335.00","22,878.00",1.02,,,,,,,,,,,,,,,
,,2006 - 2007,"23,476.00","24,496.00",1.04,,,,,,,,,,,,,,,
,,2007 - 2008,"21,179.00","20,499.00",0.97,,,,,,,,,,,,,,,
,,2008 - 2009,"19,373.00","20,652.00",1.07,,,,,,,,,,,,,,,
,,2009 - 2010,"18,829.00","20,304.00",1.08,,,,,,,,,,,,,,,
,,2010 - 2011,"17,180.00","18,646.00",1.09,,,,,,,,,,,,,,,
,,2011 - 2012,"15,980.00","18,438.00",1.15,,,,,,,,,,,,,,,
,,2012 - 2013,"15,526.00","18,211.00",1.17,,,,,,,,,,,,,,,
,,2013 - 2014,"13,923.00","17,909.00",1.29,,,,,,,,,,,,,,,
,,2014 - 2015,"14,566.00","17,359.00",1.19,,,,,,,,,,,,,,,
,,2015 - 2016,"12,517.00","16,757.00",1.34,,,,,,,,,,,,,,,
,,2016 - 2017,"10,852.00","15,175.00",1.4,,,,,,,,,,,,,,,
,,2017 - 2018,"10,018.00","13,871.00",1.38,,,,,,,,,,,,,,,
,,2018 - 2019,"9,191.00","11,670.00",1.27,,,,,,,,,,,,,,,
,,2019 - 2020,"7,560.00","11,531.00",1.53,,,,,,,,,,,,,,,
,,2020 - 2021,"7,364.00","12,915.00",1.75,,,,,,,,,,,,,,,
,,2021 - 2022,"6,221.00","10,675.00",1.72,,,,,,,,,,,,,,,
,,2022 - 2023,"5,355.00","9,493.00",1.77,,,,,,,,,,,,,,,
,9. Pithoragarh,2000 - 2001,"23,052.00","26,656.00",1.16,,,,,,,,,,,,,,,
,,2001 - 2002,"23,070.00","28,672.00",1.24,,,,,,,,,,,,,,,
,,2002 - 2003,"23,911.00","29,266.00",1.22,,,,,,,,,,,,,,,
,,2003 - 2004,"19,629.00","25,879.00",1.32,,,,,,,,,,,,,,,
,,2004 - 2005,"25,060.00","32,672.00",1.3,,,,,,,,,,,,,,,
,,2005 - 2006,"22,696.00","28,472.00",1.25,,,,,,,,,,,,,,,
,,2006 - 2007,"21,000.00","27,134.00",1.29,,,,,,,,,,,,,,,
,,2007 - 2008,"21,247.00","28,915.00",1.36,,,,,,,,,,,,,,,
,,2008 - 2009,"20,875.00","29,805.00",1.43,,,,,,,,,,,,,,,
,,2009 - 2010,"21,239.00","27,527.00",1.3,,,,,,,,,,,,,,,
,,2010 - 2011,"22,525.00","28,454.00",1.26,,,,,,,,,,,,,,,
,,2011 - 2012,"21,606.00","27,841.00",1.29,,,,,,,,,,,,,,,
,,2012 - 2013,"20,204.00","26,027.00",1.29,,,,,,,,,,,,,,,
,,2013 - 2014,"20,597.00","28,280.00",1.37,,,,,,,,,,,,,,,
,,2014 - 2015,"20,131.00","25,550.00",1.27,,,,,,,,,,,,,,,
,,2015 - 2016,"20,538.00","26,720.00",1.3,,,,,,,,,,,,,,,
,,2016 - 2017,"21,309.00","28,107.00",1.32,,,,,,,,,,,,,,,
,,2017 - 2018,"21,103.00","24,715.00",1.17,,,,,,,,,,,,,,,
,,2018 - 2019,"18,710.00","23,681.00",1.27,,,,,,,,,,,,,,,
,,2019 - 2020,"17,903.00","23,680.00",1.32,,,,,,,,,,,,,,,
,,2020 - 2021,"16,477.00","22,152.00",1.34,,,,,,,,,,,,,,,
,,2021 - 2022,"17,032.00","23,333.00",1.37,,,,,,,,,,,,,,,
,,2022 - 2023,"15,776.00","20,441.00",1.3,,,,,,,,,,,,,,,
,10. Rudra prayag,2000 - 2001,"10,050.00","12,865.00",1.28,,,,,,,,,,,,,,,
,,2001 - 2002,"9,307.00","11,419.00",1.23,,,,,,,,,,,,,,,
,,2002 - 2003,"8,675.00","11,012.00",1.27,,,,,,,,,,,,,,,
,,2003 - 2004,"9,274.00","12,151.00",1.31,,,,,,,,,,,,,,,
,,2004 - 2005,"8,799.00","11,669.00",1.33,,,,,,,,,,,,,,,
,,2005 - 2006,"8,016.00","10,720.00",1.34,,,,,,,,,,,,,,,
,,2006 - 2007,"8,876.00","13,713.00",1.54,,,,,,,,,,,,,,,
,,2007 - 2008,"9,614.00","15,150.00",1.58,,,,,,,,,,,,,,,
,,2008 - 2009,"9,719.00","16,340.00",1.68,,,,,,,,,,,,,,,
,,2009 - 2010,"7,940.00","11,077.00",1.4,,,,,,,,,,,,,,,
,,2010 - 2011,"9,726.00","14,897.00",1.53,,,,,,,,,,,,,,,
,,2011 - 2012,"9,017.00","12,658.00",1.4,,,,,,,,,,,,,,,
,,2012 - 2013,"9,268.00","12,439.00",1.34,,,,,,,,,,,,,,,
,,2013 - 2014,"8,495.00","11,408.00",1.34,,,,,,,,,,,,,,,
,,2014 - 2015,"8,944.00","11,675.00",1.31,,,,,,,,,,,,,,,
,,2015 - 2016,"8,837.00","13,215.00",1.5,,,,,,,,,,,,,,,
,,2016 - 2017,"9,247.00","12,742.00",1.38,,,,,,,,,,,,,,,
,,2017 - 2018,"8,563.00","11,168.00",1.3,,,,,,,,,,,,,,,
,,2018 - 2019,"8,514.00","10,827.00",1.27,,,,,,,,,,,,,,,
,,2019 - 2020,"8,345.00","11,081.00",1.33,,,,,,,,,,,,,,,
,,2020 - 2021,"8,166.00","10,967.00",1.34,,,,,,,,,,,,,,,
,,2021 - 2022,"7,834.00","10,998.00",1.4,,,,,,,,,,,,,,,
,,2022 - 2023,"8,041.00","11,443.00",1.42,,,,,,,,,,,,,,,
,11. Tehri garhwal,2000 - 2001,"14,289.00","24,913.00",1.74,,,,,,,,,,,,,,,
,,2001 - 2002,"12,750.00","20,753.00",1.63,,,,,,,,,,,,,,,
,,2002 - 2003,"12,642.00","15,232.00",1.2,,,,,,,,,,,,,,,
,,2003 - 2004,"13,038.00","19,395.00",1.49,,,,,,,,,,,,,,,
,,2004 - 2005,"13,909.00","19,229.00",1.38,,,,,,,,,,,,,,,
,,2005 - 2006,"12,164.00","17,668.00",1.45,,,,,,,,,,,,,,,
,,2006 - 2007,"12,573.00","19,964.00",1.59,,,,,,,,,,,,,,,
,,2007 - 2008,"12,991.00","20,457.00",1.57,,,,,,,,,,,,,,,
,,2008 - 2009,"13,844.00","22,795.00",1.65,,,,,,,,,,,,,,,
,,2009 - 2010,"11,129.00","13,318.00",1.2,,,,,,,,,,,,,,,
,,2010 - 2011,"11,396.00","16,656.00",1.46,,,,,,,,,,,,,,,
,,2011 - 2012,"12,377.00","18,413.00",1.49,,,,,,,,,,,,,,,
,,2012 - 2013,"11,108.00","16,012.00",1.44,,,,,,,,,,,,,,,
,,2013 - 2014,"11,352.00","17,596.00",1.55,,,,,,,,,,,,,,,
,,2014 - 2015,"11,291.00","18,985.00",1.68,,,,,,,,,,,,,,,
,,2015 - 2016,"11,627.00","19,881.00",1.71,,,,,,,,,,,,,,,
,,2016 - 2017,"11,873.00","18,655.00",1.57,,,,,,,,,,,,,,,
,,2017 - 2018,"10,415.00","20,486.00",1.97,,,,,,,,,,,,,,,
,,2018 - 2019,"11,160.00","19,864.00",1.78,,,,,,,,,,,,,,,
,,2019 - 2020,"9,572.00","16,230.00",1.7,,,,,,,,,,,,,,,
,,2020 - 2021,"10,255.00","25,712.00",2.51,,,,,,,,,,,,,,,
,,2021 - 2022,"9,201.00","19,183.00",2.08,,,,,,,,,,,,,,,
,,2022 - 2023,"9,046.00","18,667.00",2.06,,,,,,,,,,,,,,,
,12. Udam singh nagar,2000 - 2001,"94,531.00","2,90,122.00",3.07,,,,"3,020.00","9,447.00",3.13,,,,,,,,,
,,2001 - 2002,"94,713.00","2,89,134.00",3.05,,,,"3,702.00","11,709.00",3.16,,,,,,,,,
,,2002 - 2003,"94,281.00","2,88,037.00",3.06,,,,"4,010.00","11,429.00",2.85,,,,,,,,,
,,2003 - 2004,"96,566.00","2,54,699.00",2.64,,,,,,,"5,536.00","20,682.00",3.74,,,,,,
,,2004 - 2005,"1,00,560.00","2,70,220.00",2.69,,,,,,,"7,395.00","22,022.00",2.98,,,,,,
,,2005 - 2006,"1,01,780.00","2,69,787.00",2.65,,,,,,,"8,844.00","42,265.00",4.78,,,,,,
,,2006 - 2007,"1,00,822.00","2,83,757.00",2.81,,,,"9,816.00","30,871.00",3.14,,,,,,,,,
,,2007 - 2008,"94,447.00","2,68,565.00",2.84,,,,,,,"12,317.00","41,705.00",3.39,,,,,,
,,2008 - 2009,"1,02,098.00","2,65,223.00",2.6,,,,,,,"12,489.00","39,278.00",3.15,,,,,,
,,2009 - 2010,"1,05,297.00","3,03,122.00",2.88,,,,"13,634.00","38,898.00",2.85,,,,,,,,,
,,2010 - 2011,"1,04,602.00","2,57,494.00",2.46,,,,"15,127.00","50,055.00",3.31,,,,,,,,,
,,2011 - 2012,"1,01,637.00","2,95,392.00",2.91,,,,,,,"13,540.00","44,804.00",3.31,,,,,,
,,2012 - 2013,"1,03,064.00","3,18,027.00",3.09,,,,,,,"14,024.00","44,987.00",3.21,,,,,,
,,2013 - 2014,"1,02,169.00","3,21,436.00",3.15,,,,,,,"12,238.00","40,704.00",3.33,,,,,,
,,2014 - 2015,"1,01,482.00","3,30,419.00",3.26,,,,,,,"12,150.00","38,236.00",3.15,,,,,,
,,2015 - 2016,"1,02,759.00","3,49,188.00",3.4,,,,,,,"12,859.00","49,430.00",3.84,,,,,,
,,2016 - 2017,"1,04,810.00","3,43,466.00",3.28,,,,,,,"14,540.00","54,961.00",3.78,,,,,,
,,2017 - 2018,"1,07,511.00","3,80,629.00",3.54,,,,,,,"13,794.00","44,334.00",3.21,,,,,,
,,2018 - 2019,"1,08,766.00","3,49,695.00",3.22,,,,,,,"15,504.00","50,985.00",3.29,,,,,,
,,2019 - 2020,"1,08,937.00","3,77,602.00",3.47,,,,,,,"17,175.00","61,220.00",3.56,,,,,,
,,2020 - 2021,"1,10,438.00","4,11,008.00",3.72,,,,,,,"15,166.00","54,522.00",3.6,,,,,,
,,2021 - 2022,"1,09,584.00","3,94,707.00",3.6,,,,,,,"19,944.00","76,126.00",3.82,,,,,,
,,2022 - 2023,"1,08,572.00","3,48,226.00",3.21,,,,,,,"21,525.00","75,922.00",3.53,,,,,,
,13. Uttar kashi,2000 - 2001,"10,126.00","14,949.00",1.48,,,,,,,,,,,,,,,
,,2001 - 2002,"10,316.00","14,861.00",1.44,,,,,,,,,,,,,,,
,,2002 - 2003,"9,051.00","9,608.00",1.06,,,,,,,,,,,,,,,
,,2003 - 2004,"10,114.00","16,864.00",1.67,,,,,,,,,,,,,,,
,,2004 - 2005,"10,488.00","14,210.00",1.35,,,,,,,,,,,,,,,
,,2005 - 2006,"10,211.00","16,600.00",1.63,,,,,,,,,,,,,,,
,,2006 - 2007,"11,413.00","17,968.00",1.57,,,,,,,,,,,,,,,
,,2007 - 2008,"10,868.00","18,781.00",1.73,,,,,,,,,,,,,,,
,,2008 - 2009,"10,785.00","18,180.00",1.69,,,,,,,,,,,,,,,
,,2009 - 2010,"10,352.00","14,134.00",1.37,,,,,,,,,,,,,,,
,,2010 - 2011,"10,397.00","17,132.00",1.65,,,,,,,,,,,,,,,
,,2011 - 2012,"10,619.00","17,165.00",1.62,,,,,,,,,,,,,,,
,,2012 - 2013,"9,919.00","18,604.00",1.88,,,,,,,,,,,,,,,
,,2013 - 2014,"9,010.00","15,981.00",1.77,,,,,,,,,,,,,,,
,,2014 - 2015,"9,919.00","16,499.00",1.66,,,,,,,,,,,,,,,
,,2015 - 2016,"10,737.00","18,978.00",1.77,,,,,,,,,,,,,,,
,,2016 - 2017,"10,107.00","17,888.00",1.77,,,,,,,,,,,,,,,
,,2017 - 2018,"10,249.00","17,572.00",1.71,,,,,,,,,,,,,,,
,,2018 - 2019,"10,174.00","16,552.00",1.63,,,,,,,,,,,,,,,
,,2019 - 2020,"10,820.00","18,148.00",1.68,,,,,,,,,,,,,,,
,,2020 - 2021,"10,616.00","20,131.00",1.9,,,,,,,,,,,,,,,
,,2021 - 2022,"9,401.00","17,416.00",1.85,,,,,,,,,,,,,,,
,,2022 - 2023,"9,830.00","15,458.00",1.57,,,,,,,,,,,,,,,
36. West Bengal,1. 24 paraganas north,2000 - 2001,,,,"28,438.00","47,660.00",1.68,,,,"1,09,077.00","3,41,715.00",3.13,"1,36,439.00","2,51,580.00",1.84,,,
,,2001 - 2002,,,,"32,824.00","75,912.00",2.31,,,,"1,00,153.00","3,16,329.00",3.16,"1,98,499.00","4,63,190.00",2.33,,,
,,2002 - 2003,,,,"17,781.00","39,008.00",2.19,,,,"88,692.00","2,76,560.00",3.12,"1,80,898.00","4,36,010.00",2.41,,,
,,2003 - 2004,,,,"13,747.00","33,482.00",2.44,,,,"83,792.00","2,65,326.00",3.17,"1,69,933.00","4,02,803.00",2.37,,,
,,2004 - 2005,,,,"18,746.00","42,098.00",2.25,,,,"89,345.00","2,76,187.00",3.09,"1,57,096.00","3,68,303.00",2.34,,,
,,2005 - 2006,,,,"18,148.00","43,726.00",2.41,,,,"96,675.00","2,83,954.00",2.94,"1,62,284.00","3,89,682.00",2.4,,,
,,2006 - 2007,,,,"17,719.00","46,279.00",2.61,,,,"89,707.00","2,71,884.00",3.03,"1,70,626.00","4,07,810.00",2.39,,,
,,2007 - 2008,,,,"20,861.00","44,993.00",2.16,,,,"95,528.00","2,94,718.00",3.09,"1,57,175.00","4,04,941.00",2.58,,,
,,2008 - 2009,,,,"22,083.00","59,411.00",2.69,,,,"95,232.00","2,71,409.00",2.85,"1,57,226.00","4,06,213.00",2.58,,,
,,2009 - 2010,,,,"18,839.00","50,488.00",2.68,,,,"88,725.00","2,76,708.00",3.12,"1,27,578.00","3,31,194.00",2.6,,,
,,2010 - 2011,,,,"18,514.00","42,008.00",2.27,,,,"77,633.00","2,61,587.00",3.37,"1,27,578.00","3,02,957.00",2.37,,,
,,2011 - 2012,,,,"15,789.00","42,918.00",2.72,,,,"71,962.00","2,25,593.00",3.13,"1,33,756.00","3,29,019.00",2.46,,,
,,2012 - 2013,,,,"13,891.00","36,080.00",2.6,,,,"70,500.00","2,49,051.00",3.53,"1,33,093.00","3,64,032.00",2.74,,,
,,2013 - 2014,,,,"16,286.00","46,047.00",2.83,,,,"70,880.00","2,31,275.00",3.26,"1,31,943.00","3,91,081.00",2.96,,,
,,2014 - 2015,,,,"15,876.00","42,913.00",2.7,,,,"70,898.00","2,39,229.00",3.37,"1,39,767.00","4,01,623.00",2.87,,,
,,2015 - 2016,,,,"17,924.00","49,687.00",2.77,,,,"72,439.00","2,40,017.00",3.31,"1,39,946.00","3,89,749.00",2.78,,,
,,2016 - 2017,,,,"20,136.00","54,174.00",2.69,,,,"61,123.00","2,11,172.00",3.45,"1,43,075.00","4,00,528.00",2.8,,,
,,2017 - 2018,,,,"18,561.00","54,454.00",2.93,,,,"63,492.00","2,18,404.00",3.44,"1,43,736.00","4,17,070.00",2.9,,,
,,2018 - 2019,,,,"19,550.00","56,300.00",2.88,,,,"69,624.00","2,49,118.00",3.58,"1,42,463.00","4,69,611.00",3.3,,,
