State,District,Year,Cotton(lint),,,,,,,,,,,
,18. Nalgonda,2000 - 2001,"97,120.00","86,837.00",0.89,,,,,,,,,
,,2001 - 2002,"1,13,516.00","1,02,832.00",0.91,,,,,,,,,
,,2002 - 2003,"77,391.00","67,376.00",0.87,,,,,,,,,
,,2003 - 2004,"63,615.00","1,12,262.00",1.76,,,,,,,,,
,,2004 - 2005,"1,04,151.00","1,31,108.00",1.26,,,,,,,,,
,,2005 - 2006,"85,598.00","1,30,915.00",1.53,,,,,,,,,
,,2006 - 2007,"79,993.00","1,62,809.00",2.04,,,,,,,,,
,,2007 - 2008,"1,06,000.00","2,28,000.00",2.15,,,,,,,,,
,,2008 - 2009,"1,62,522.00","3,12,616.00",1.92,,,,,,,,,
,,2009 - 2010,"1,36,408.00","2,16,648.00",1.59,,,,,,,,,
,,2010 - 2011,"1,65,112.00","3,04,000.00",1.84,,,,,,,,,
,,2011 - 2012,"2,05,359.00","2,06,567.00",1.01,,,,,,,,,
,,2012 - 2013,"2,98,000.00","6,03,000.00",2.02,,,,,,,,,
,,2013 - 2014,"3,35,976.00","7,76,447.00",2.31,,,,,,,,,
,,2014 - 2015,"3,07,792.00","5,05,141.00",1.64,,,,,,,,,
,,2015 - 2016,"3,41,655.00","6,41,281.00",1.88,,,,,,,,,
,,2016 - 2017,"2,03,081.00","3,34,486.00",1.65,,,,,,,,,
,,2017 - 2018,"2,33,520.00","4,97,260.00",2.13,,,,,,,,,
,,2018 - 2019,"2,28,833.00","3,97,093.00",1.74,,,,,,,,,
,,2019 - 2020,"2,73,699.00","7,16,107.00",2.62,,,,,,,,,
,,2020 - 2021,"2,84,524.00","6,24,494.00",2.19,,,,,,,,,
,,2021 - 2022,"2,64,573.00","6,03,849.00",2.28,,,,,,,,,
,,2022 - 2023,"2,76,238.00","5,89,849.00",2.14,45,96,2.13,,,,,,
,19. Narayanapet,2018 - 2019,"41,972.00","9,192.00",0.22,,,,,,,,,
,,2019 - 2020,"63,734.00","2,06,590.00",3.24,,,,,,,,,
,,2020 - 2021,"73,177.00","1,44,659.00",1.98,,,,,,,,,
,,2021 - 2022,"67,073.00","1,88,593.00",2.81,,,,,,,,,
,,2022 - 2023,"87,985.00","2,00,813.00",2.28,82,187,2.28,,,,,,
,20. Nirmal,2016 - 2017,"50,504.00","1,37,549.00",2.72,,,,,,,,,
,,2017 - 2018,"59,258.00","1,97,991.00",3.34,,,,,,,,,
,,2018 - 2019,"57,216.00","1,50,781.00",2.64,,,,,,,,,
,,2019 - 2020,"55,585.00","1,64,016.00",2.95,,,,,,,,,
,,2020 - 2021,"62,799.00","1,86,220.00",2.97,,,,,,,,,
,,2021 - 2022,"65,559.00","1,31,502.00",2.01,,,,,,,,,
,,2022 - 2023,"57,672.00","1,99,817.00",3.46,1,3,3,,,,,,
,21. Nizamabad,2000 - 2001,"8,374.00","13,497.00",1.61,,,,,,,,,
,,2001 - 2002,"10,931.00","16,525.00",1.51,,,,,,,,,
,,2002 - 2003,"8,746.00","11,113.00",1.27,,,,,,,,,
,,2003 - 2004,"8,588.00","6,416.00",0.75,,,,,,,,,
,,2004 - 2005,"13,053.00","8,830.00",0.68,,,,,,,,,
,,2005 - 2006,"13,279.00","8,514.00",0.64,,,,,,,,,
,,2006 - 2007,"7,932.00","6,066.00",0.76,,,,,,,,,
,,2007 - 2008,"9,000.00","15,000.00",1.67,,,,,,,,,
,,2008 - 2009,"11,832.00","29,232.00",2.47,,,,,,,,,
,,2009 - 2010,"15,121.00","38,692.00",2.56,,,,,,,,,
,,2010 - 2011,"20,431.00","65,379.00",3.2,,,,,,,,,
,,2011 - 2012,"23,150.00","31,593.00",1.36,,,,,,,,,
,,2012 - 2013,"20,000.00","46,000.00",2.3,,,,,,,,,
,,2013 - 2014,"15,398.00","30,618.00",1.99,,,,,,,,,
,,2014 - 2015,"15,795.00","18,861.00",1.19,,,,,,,,,
,,2015 - 2016,"16,658.00","16,524.00",0.99,,,,,,,,,
,,2016 - 2017,994,"2,292.00",2.31,,,,,,,,,
,,2017 - 2018,"1,404.00","4,782.00",3.41,,,,,,,,,
,,2018 - 2019,"1,295.00","3,725.00",2.88,,,,,,,,,
,,2019 - 2020,"1,487.00","6,116.00",4.11,,,,,,,,,
,,2020 - 2021,"1,409.00","2,948.00",2.09,,,,,,,,,
,,2021 - 2022,853,"2,293.00",2.69,,,,,,,,,
,,2022 - 2023,829,"2,277.00",2.75,2,5,2.5,,,,,,
,22. Peddapalli,2016 - 2017,"30,656.00","98,099.00",3.2,,,,,,,,,
,,2017 - 2018,"39,307.00","1,26,476.00",3.22,,,,,,,,,
,,2018 - 2019,"35,027.00","1,10,850.00",3.16,,,,,,,,,
,,2019 - 2020,"31,142.00","93,704.00",3.01,,,,,,,,,
,,2020 - 2021,"30,854.00","90,147.00",2.92,,,,,,,,,
,,2021 - 2022,"25,610.00","80,737.00",3.15,,,,,,,,,
,,2022 - 2023,"27,134.00","1,04,386.00",3.85,3,12,4,,,,,,
,23. Rajanna,2016 - 2017,"42,806.00","1,36,979.00",3.2,,,,,,,,,
,,2017 - 2018,"50,586.00","1,69,909.00",3.36,,,,,,,,,
,,2018 - 2019,"51,270.00","1,38,127.00",2.69,,,,,,,,,
,,2019 - 2020,"50,178.00","2,45,796.00",4.9,,,,,,,,,
,,2020 - 2021,"39,943.00","1,50,956.00",3.78,,,,,,,,,
,,2021 - 2022,"25,557.00","79,675.00",3.12,,,,,,,,,
,,2022 - 2023,"23,297.00","90,447.00",3.88,8,31,3.88,,,,,,
,24. Rangareddi,2000 - 2001,"14,424.00","19,769.00",1.37,,,,,,,,,
,,2001 - 2002,"19,452.00","30,093.00",1.55,,,,,,,,,
,,2002 - 2003,"14,141.00","22,459.00",1.59,,,,,,,,,
,,2003 - 2004,"15,368.00","36,070.00",2.35,,,,,,,,,
,,2004 - 2005,"20,898.00","35,035.00",1.68,,,,,,,,,
,,2005 - 2006,"18,399.00","34,958.00",1.9,,,,,,,,,
,,2006 - 2007,"16,334.00","22,099.00",1.35,,,,,,,,,
,,2007 - 2008,"17,000.00","40,000.00",2.35,,,,,,,,,
,,2008 - 2009,"17,842.00","48,278.00",2.71,,,,,,,,,
,,2009 - 2010,"26,594.00","35,667.00",1.34,,,,,,,,,
,,2010 - 2011,"34,067.00","57,112.00",1.68,,,,,,,,,
,,2011 - 2012,"40,034.00","39,328.00",0.98,,,,,,,,,
,,2012 - 2013,"60,000.00","1,45,000.00",2.42,,,,,,,,,
,,2013 - 2014,"59,490.00","1,39,629.00",2.35,,,,,,,,,
,,2014 - 2015,"63,469.00","1,10,511.00",1.74,,,,,,,,,
,,2015 - 2016,"63,008.00","93,938.00",1.49,,,,,,,,,
,,2016 - 2017,"46,101.00","73,762.00",1.6,,,,,,,,,
,,2017 - 2018,"80,375.00","1,77,771.00",2.21,,,,,,,,,
,,2018 - 2019,"71,395.00","88,194.00",1.24,,,,,,,,,
,,2019 - 2020,"86,994.00","2,36,465.00",2.72,,,,,,,,,
,,2020 - 2021,"1,09,313.00","2,19,271.00",2.01,,,,,,,,,
,,2021 - 2022,"53,256.00","1,21,236.00",2.28,,,,,,,,,
,,2022 - 2023,"57,827.00","1,28,580.00",2.22,17,38,2.24,,,,,,
,25. Sangareddy,2016 - 2017,"69,740.00","1,49,326.00",2.14,,,,,,,,,
,,2017 - 2018,"1,06,002.00","4,15,902.00",3.92,,,,,,,,,
,,2018 - 2019,"99,543.00","1,89,132.00",1.9,,,,,,,,,
,,2019 - 2020,"1,40,009.00","4,49,762.00",3.21,,,,,,,,,
,,2020 - 2021,"1,61,667.00","4,53,540.00",2.81,,,,,,,,,
,,2021 - 2022,"1,46,158.00","3,33,584.00",2.28,,,,,,,,,
,,2022 - 2023,"1,48,432.00","5,56,183.00",3.75,43,161,3.74,,,,,,
,26. Siddipet,2016 - 2017,"51,581.00","1,10,444.00",2.14,,,,,,,,,
,,2017 - 2018,"77,061.00","2,61,554.00",3.39,,,,,,,,,
,,2018 - 2019,"74,505.00","1,27,535.00",1.71,,,,,,,,,
,,2019 - 2020,"91,914.00","3,13,964.00",3.42,,,,,,,,,
,,2020 - 2021,"96,431.00","3,04,164.00",3.15,,,,,,,,,
,,2021 - 2022,"51,483.00","1,42,638.00",2.77,,,,,,,,,
,,2022 - 2023,"49,959.00","1,69,861.00",3.4,13,44,3.38,,,,,,
,27. Suryapet,2016 - 2017,"33,598.00","55,338.00",1.65,,,,,,,,,
,,2017 - 2018,"49,916.00","1,64,723.00",3.3,,,,,,,,,
,,2018 - 2019,"47,530.00","1,56,290.00",3.29,,,,,,,,,
,,2019 - 2020,"65,642.00","2,15,637.00",3.29,,,,,,,,,
,,2020 - 2021,"61,181.00","1,44,067.00",2.35,,,,,,,,,
,,2021 - 2022,"39,715.00","1,12,370.00",2.83,,,,,,,,,
,,2022 - 2023,"46,816.00","1,59,174.00",3.4,9,31,3.44,,,,,,
,28. Vikarabad,2016 - 2017,"30,790.00","49,264.00",1.6,,,,,,,,,
,,2017 - 2018,"51,597.00","1,32,028.00",2.56,,,,,,,,,
,,2018 - 2019,"55,174.00","1,15,865.00",2.1,,,,,,,,,
,,2019 - 2020,"77,484.00","2,24,129.00",2.89,,,,,,,,,
,,2020 - 2021,"1,07,728.00","1,72,250.00",1.6,,,,,,,,,
,,2021 - 2022,"77,456.00","1,74,048.00",2.25,,,,,,,,,
,,2022 - 2023,"98,513.00","2,43,965.00",2.48,21,52,2.48,,,,,,
,29. Wanaparthy,2016 - 2017,"1,675.00","2,936.00",1.75,,,,,,,,,
,,2017 - 2018,"4,380.00","12,058.00",2.75,,,,,,,,,
,,2018 - 2019,"2,736.00","4,056.00",1.48,,,,,,,,,
,,2019 - 2020,"2,988.00","10,119.00",3.39,,,,,,,,,
,,2020 - 2021,"7,048.00","10,652.00",1.51,,,,,,,,,
,,2021 - 2022,"5,261.00","9,903.00",1.88,,,,,,,,,
,,2022 - 2023,"8,966.00","18,723.00",2.09,2,4,2,,,,,,
,30. Warangal,2000 - 2001,"1,40,591.00","3,53,959.00",2.52,,,,,,,,,
,,2001 - 2002,"1,82,478.00","3,14,506.00",1.72,,,,,,,,,
,,2002 - 2003,"1,19,478.00","1,69,378.00",1.42,,,,,,,,,
,,2003 - 2004,"1,23,549.00","2,79,075.00",2.26,,,,,,,,,
,,2004 - 2005,"1,53,026.00","2,88,049.00",1.88,,,,,,,,,
,,2005 - 2006,"1,51,260.00","3,71,922.00",2.46,,,,,,,,,
,,2006 - 2007,"1,53,639.00","3,58,792.00",2.34,,,,,,,,,
,,2007 - 2008,"1,60,000.00","4,75,000.00",2.97,,,,,,,,,
,,2008 - 2009,"1,76,419.00","5,70,767.00",3.24,,,,,,,,,
,,2009 - 2010,"1,85,340.00","5,27,674.00",2.85,,,,,,,,,
,,2010 - 2011,"2,27,973.00","5,98,094.00",2.62,,,,,,,,,
,,2011 - 2012,"2,65,814.00","6,00,427.00",2.26,,,,,,,,,
,,2012 - 2013,"2,76,000.00","5,89,000.00",2.13,,,,,,,,,
,,2013 - 2014,"2,39,789.00","6,65,182.00",2.77,,,,,,,,,
,,2014 - 2015,"2,28,057.00","6,07,705.00",2.66,,,,,,,,,
,,2015 - 2016,"2,51,021.00","6,41,636.00",2.56,,,,,,,,,
,,2016 - 2017,"60,180.00","1,82,310.00",3.03,,,,,,,,,
,,2017 - 2018,"73,140.00","1,24,338.00",1.7,,,,,,,,,
,,2018 - 2019,"69,337.00","1,83,131.00",2.64,,,,,,,,,
,,2019 - 2020,"69,508.00","1,96,005.00",2.82,,,,,,,,,
,,2020 - 2021,"80,825.00","1,82,104.00",2.25,,,,,,,,,
,,2021 - 2022,"44,353.00","1,38,277.00",3.12,,,,,,,,,
,,2022 - 2023,"54,785.00","2,21,718.00",4.05,117,474,4.05,,,,,,
,31. Warangal urban,2016 - 2017,"30,041.00","91,007.00",3.03,,,,,,,,,
,,2017 - 2018,"35,408.00","79,980.00",2.26,,,,,,,,,
,,2018 - 2019,"32,838.00","73,789.00",2.25,,,,,,,,,
,,2019 - 2020,"30,888.00","82,161.00",2.66,,,,,,,,,
,,2020 - 2021,"33,567.00","50,256.00",1.5,,,,,,,,,
,,2021 - 2022,"31,957.00","81,958.00",2.56,,,,,,,,,
,,2022 - 2023,"37,266.00","1,39,638.00",3.75,60,225,3.75,,,,,,
,32. Yadadri,2016 - 2017,"47,207.00","77,753.00",1.65,,,,,,,,,
,,2017 - 2018,"67,848.00","1,66,826.00",2.46,,,,,,,,,
,,2018 - 2019,"67,266.00","1,08,021.00",1.61,,,,,,,,,
,,2019 - 2020,"69,609.00","2,15,515.00",3.1,,,,,,,,,
,,2020 - 2021,"73,877.00","1,87,918.00",2.54,,,,,,,,,
,,2021 - 2022,"50,714.00","1,19,029.00",2.35,,,,,,,,,
,,2022 - 2023,"47,575.00","1,51,121.00",3.18,13,41,3.15,,,,,,
22. Tripura,1. Dhalai,2000 - 2001,440,655,1.49,,,,,,,,,
,,2001 - 2002,670,"1,008.00",1.5,,,,,,,,,
,,2002 - 2003,652,890,1.37,,,,,,,,,
,,2003 - 2004,540,140,0.26,,,,,,,,,
,,2004 - 2005,391,604,1.54,,,,,,,,,
,,2005 - 2006,475,679,1.43,,,,,,,,,
,,2006 - 2007,595,853,1.43,,,,,,,,,
,,2007 - 2008,533,749,1.41,,,,,,,,,
,,2008 - 2009,501,779,1.55,,,,,,,,,
,,2009 - 2010,440,702,1.6,,,,,,,,,
,,2010 - 2011,438,656,1.5,,,,,,,,,
,,2011 - 2012,274,417,1.52,,,,,,,,,
,,2012 - 2013,383,635,1.66,,,,,,,,,
,,2013 - 2014,351,587,1.67,,,,,,,,,
,,2014 - 2015,340,561,1.65,,,,,,,,,
,,2015 - 2016,340,548,1.61,,,,,,,,,
,,2016 - 2017,331,555,1.68,,,,,,,,,
,,2017 - 2018,347,520,1.5,,,,,,,,,
,,2018 - 2019,346,590.76,1.71,,,,,,,,,
,,2019 - 2020,292,512.24,1.75,,,,,,,,,
,,2020 - 2021,260,431,1.66,,,,,,,,,
,,2021 - 2022,233,403,1.73,,,,,,,,,
,,2022 - 2023,160,274,1.71,,,,,,,,,
,2. Gomati,2012 - 2013,141,187,1.33,,,,,,,,,
,,2013 - 2014,121,165,1.36,,,,,,,,,
,,2014 - 2015,103,154,1.5,,,,,,,,,
,,2015 - 2016,97,141,1.45,,,,,,,,,
,,2016 - 2017,92,141,1.53,,,,,,,,,
,,2017 - 2018,55,61,1.11,,,,,,,,,
,,2018 - 2019,59,63.85,1.08,,,,,,,,,
,,2019 - 2020,64,70.27,1.1,,,,,,,,,
,,2020 - 2021,41,66,1.61,,,,,,,,,
,,2021 - 2022,30,39,1.3,,,,,,,,,
,,2022 - 2023,10,14,1.4,,,,,,,,,
,3. Khowai,2012 - 2013,55,75,1.36,,,,,,,,,
,,2013 - 2014,69,103,1.49,,,,,,,,,
,,2014 - 2015,49,73,1.49,,,,,,,,,
,,2015 - 2016,49,75,1.53,,,,,,,,,
,,2016 - 2017,47,75,1.6,,,,,,,,,
,,2017 - 2018,39,53,1.36,,,,,,,,,
,,2018 - 2019,51,71.45,1.4,,,,,,,,,
,,2019 - 2020,47,66.1,1.41,,,,,,,,,
,,2020 - 2021,52,79,1.52,,,,,,,,,
,,2021 - 2022,41,60,1.46,,,,,,,,,
,,2022 - 2023,44,65,1.48,,,,,,,,,
,4. North tripura,2000 - 2001,235,346,1.47,,,,,,,,,
,,2001 - 2002,263,388,1.48,,,,,,,,,
,,2002 - 2003,306,260,0.85,,,,,,,,,
,,2003 - 2004,310,80,0.26,,,,,,,,,
,,2004 - 2005,319,462,1.45,,,,,,,,,
,,2005 - 2006,248,360,1.45,,,,,,,,,
,,2006 - 2007,178,245,1.38,,,,,,,,,
,,2007 - 2008,194,265,1.37,,,,,,,,,
,,2008 - 2009,133,189,1.42,,,,,,,,,
,,2009 - 2010,196,281,1.43,,,,,,,,,
,,2010 - 2011,299,439,1.47,,,,,,,,,
,,2011 - 2012,404,549,1.36,,,,,,,,,
,,2012 - 2013,193,249,1.29,,,,,,,,,
,,2013 - 2014,277,353,1.27,,,,,,,,,
,,2014 - 2015,286,373,1.3,,,,,,,,,
,,2015 - 2016,290,415,1.43,,,,,,,,,
,,2016 - 2017,238,340,1.43,,,,,,,,,
,,2017 - 2018,223,327,1.47,,,,,,,,,
,,2018 - 2019,220,298.85,1.36,,,,,,,,,
,,2019 - 2020,244,323.9,1.33,,,,,,,,,
,,2020 - 2021,162,226,1.4,,,,,,,,,
,,2021 - 2022,135,183,1.36,,,,,,,,,
,,2022 - 2023,100,138,1.38,,,,,,,,,
,5. Sepahijala,2012 - 2013,4,5,1.25,,,,,,,,,
,,2013 - 2014,13,20,1.54,,,,,,,,,
,,2014 - 2015,10,15,1.5,,,,,,,,,
,,2015 - 2016,13,20,1.54,,,,,,,,,
,,2016 - 2017,14,23,1.64,,,,,,,,,
,,2017 - 2018,12,18,1.5,,,,,,,,,
,,2018 - 2019,7,10.53,1.5,,,,,,,,,
,,2019 - 2020,10,10.7,1.07,,,,,,,,,
,,2020 - 2021,20,31,1.55,,,,,,,,,
,,2021 - 2022,5,5.8,1.16,,,,,,,,,
,,2022 - 2023,3,4,1.33,,,,,,,,,
,6. South tripura,2000 - 2001,195,286,1.47,,,,,,,,,
,,2001 - 2002,285,401,1.41,,,,,,,,,
,,2002 - 2003,267,310,1.16,,,,,,,,,
,,2003 - 2004,220,50,0.23,,,,,,,,,
,,2004 - 2005,218,309,1.42,,,,,,,,,
,,2005 - 2006,226,287,1.27,,,,,,,,,
,,2006 - 2007,237,308,1.3,,,,,,,,,
,,2007 - 2008,267,334,1.25,,,,,,,,,
,,2008 - 2009,232,308,1.33,,,,,,,,,
,,2009 - 2010,257,349,1.36,,,,,,,,,
,,2010 - 2011,240,353,1.47,,,,,,,,,
,,2011 - 2012,201,282,1.4,,,,,,,,,
,,2012 - 2013,62,76,1.23,,,,,,,,,
,,2013 - 2014,63,86,1.37,,,,,,,,,
,,2014 - 2015,39,56,1.44,,,,,,,,,
,,2015 - 2016,67,93,1.39,,,,,,,,,
,,2016 - 2017,64,96,1.5,,,,,,,,,
,,2017 - 2018,86,117,1.36,,,,,,,,,
,,2018 - 2019,77,102.7,1.33,,,,,,,,,
,,2019 - 2020,47,71.12,1.51,,,,,,,,,
,,2020 - 2021,40,63,1.58,,,,,,,,,
,,2021 - 2022,58,82,1.41,,,,,,,,,
,,2022 - 2023,46,65,1.41,,,,,,,,,
,7. Unakoti,2012 - 2013,46,65,1.41,,,,,,,,,
,,2013 - 2014,44,65,1.48,,,,,,,,,
,,2014 - 2015,64,97,1.52,,,,,,,,,
,,2015 - 2016,36,56,1.56,,,,,,,,,
,,2016 - 2017,62,95,1.53,,,,,,,,,
,,2017 - 2018,28,43,1.54,,,,,,,,,
,,2018 - 2019,28,41.68,1.49,,,,,,,,,
,,2019 - 2020,28,41.2,1.47,,,,,,,,,
,,2020 - 2021,20,32,1.6,,,,,,,,,
,,2021 - 2022,5,8,1.6,,,,,,,,,
,,2022 - 2023,27,44,1.63,,,,,,,,,
,8. West tripura,2000 - 2001,40,53,1.33,,,,,,,,,
,,2001 - 2002,70,103,1.47,,,,,,,,,
,,2002 - 2003,145,124,0.86,,,,,,,,,
,,2003 - 2004,147,35,0.24,,,,,,,,,
,,2004 - 2005,117,180,1.54,,,,,,,,,
,,2005 - 2006,194,274,1.41,,,,,,,,,
,,2006 - 2007,138,192,1.39,,,,,,,,,
,,2007 - 2008,116,156,1.34,,,,,,,,,
,,2008 - 2009,103,148,1.44,,,,,,,,,
,,2009 - 2010,72,105,1.46,,,,,,,,,
,,2010 - 2011,86,126,1.47,,,,,,,,,
,,2011 - 2012,70,100,1.43,,,,,,,,,
,,2012 - 2013,38,49,1.29,,,,,,,,,
,,2013 - 2014,11,16,1.45,,,,,,,,,
,,2014 - 2015,13,18,1.38,,,,,,,,,
,,2015 - 2016,12,17,1.42,,,,,,,,,
,,2016 - 2017,22,33,1.5,,,,,,,,,
,,2017 - 2018,15,21,1.4,,,,,,,,,
,,2018 - 2019,24,35.2,1.47,,,,,,,,,
,,2019 - 2020,28,42.98,1.54,,,,,,,,,
,,2020 - 2021,10,14,1.4,,,,,,,,,
,,2021 - 2022,19,28,1.47,,,,,,,,,
23. Uttar Pradesh,1. Agra,2000 - 2001,213,165,0.77,,,,,,,,,
,,2001 - 2002,111,94,0.85,,,,,,,,,
,,2002 - 2003,212,171,0.81,,,,,,,,,
,,2004 - 2005,240,35,0.15,,,,,,,,,
,,2005 - 2006,413,84,0.2,,,,,,,,,
,,2006 - 2007,60,13,0.22,,,,,,,,,
,,2007 - 2008,450,123,0.27,,,,,,,,,
,,2008 - 2009,29,6,0.21,,,,,,,,,
,,2009 - 2010,329,55,0.17,,,,,,,,,
,,2010 - 2011,278,50,0.18,,,,,,,,,
,,2011 - 2012,528,141,0.27,,,,,,,,,
,,2012 - 2013,"1,072.00",287,0.27,,,,,,,,,
,,2013 - 2014,717,194,0.27,,,,,,,,,
,,2014 - 2015,"1,571.00",462,0.29,,,,,,,,,
,,2015 - 2016,"2,871.00","1,036.00",0.36,,,,,,,,,
,,2016 - 2017,338,118,0.35,,,,,,,,,
,,2017 - 2018,329,82,0.25,,,,,,,,,
,,2018 - 2019,293,115,0.39,,,,,,,,,
,,2019 - 2020,326,794.1,2.44,,,,,,,,,
,,2020 - 2021,309,658.82,2.13,,,,,,,,,
,,2021 - 2022,385,148,0.38,,,,,,,,,
,,2022 - 2023,390,149,0.38,,,,,,,,,
,2. Aligarh,2000 - 2001,"1,472.00","1,153.00",0.78,,,,,,,,,
,,2001 - 2002,"1,376.00","1,424.00",1.03,,,,,,,,,
,,2002 - 2003,"1,308.00","1,182.00",0.9,,,,,,,,,
,,2004 - 2005,"1,213.00",289,0.24,,,,,,,,,
,,2005 - 2006,196,40,0.2,,,,,,,,,
,,2006 - 2007,"1,013.00",232,0.23,,,,,,,,,
,,2007 - 2008,958,261,0.27,,,,,,,,,
,,2008 - 2009,968,213,0.22,,,,,,,,,
,,2009 - 2010,"1,539.00",259,0.17,,,,,,,,,
,,2010 - 2011,466,84,0.18,,,,,,,,,
,,2011 - 2012,996,204,0.2,,,,,,,,,
,,2012 - 2013,"1,132.00",224,0.2,,,,,,,,,
,,2013 - 2014,640,124,0.19,,,,,,,,,
,,2014 - 2015,"1,721.00",544,0.32,,,,,,,,,
,,2015 - 2016,"1,749.00",514,0.29,,,,,,,,,
,,2016 - 2017,"1,135.00",461,0.41,,,,,,,,,
,,2017 - 2018,641,190,0.3,,,,,,,,,
,,2018 - 2019,"2,045.00",658,0.32,,,,,,,,,
,,2019 - 2020,490,705.88,1.44,,,,,,,,,
,,2020 - 2021,612,"1,058.82",1.73,,,,,,,,,
,,2021 - 2022,873,336,0.38,,,,,,,,,
,,2022 - 2023,482,184,0.38,,,,,,,,,
,3. Amroha,2000 - 2001,2,6,3,,,,,,,,,
,4. Azamgarh,2011 - 2012,3,1,0.33,,,,,,,,,
,5. Baghpat,2000 - 2001,174,229,1.32,,,,,,,,,
,,2001 - 2002,130,165,1.27,,,,,,,,,
,,2002 - 2003,98,106,1.08,,,,,,,,,
,,2004 - 2005,78,13,0.17,,,,,,,,,
,,2005 - 2006,105,21,0.2,,,,,,,,,
,,2006 - 2007,73,16,0.22,,,,,,,,,
,,2007 - 2008,41,11,0.27,,,,,,,,,
,,2009 - 2010,20,3,0.15,,,,,,,,,
,,2010 - 2011,14,3,0.21,,,,,,,,,
,,2011 - 2012,102,24,0.24,,,,,,,,,
,,2012 - 2013,38,9,0.24,,,,,,,,,
,,2013 - 2014,38,9,0.24,,,,,,,,,
,,2014 - 2015,4,1,0.25,,,,,,,,,
,,2015 - 2016,6,2,0.33,,,,,,,,,
,,2016 - 2017,29,10,0.34,,,,,,,,,
,,2017 - 2018,24,9,0.38,,,,,,,,,
,,2018 - 2019,24,8,0.33,,,,,,,,,
,,2019 - 2020,22,52.9,2.4,,,,,,,,,
,,2020 - 2021,12,23.53,1.96,,,,,,,,,
,,2021 - 2022,35,13,0.37,,,,,,,,,
,,2022 - 2023,30,11,0.37,,,,,,,,,
,6. Banda,2000 - 2001,4,6,1.5,,,,,,,,,
,7. Barabanki,2001 - 2002,1,1,1,,,,,,,,,
,8. Bareilly,2000 - 2001,4,6,1.5,,,,,,,,,
,,2011 - 2012,1,,0,,,,,,,,,
,9. Bijnor,2001 - 2002,2,6,3,,,,,,,,,
,,2004 - 2005,5,1,0.2,,,,,,,,,
,,2007 - 2008,3,1,0.33,,,,,,,,,
,10. Budaun,2001 - 2002,2,6,3,,,,,,,,,
,,2002 - 2003,4,6,1.5,,,,,,,,,
,,2004 - 2005,14,2,0.14,,,,,,,,,
,,2005 - 2006,1,,0,,,,,,,,,
,,2006 - 2007,6,1,0.17,,,,,,,,,
,,2013 - 2014,2,1,0.5,,,,,,,,,
,,2015 - 2016,1,,0,,,,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,,,,
,11. Bulandshahr,2000 - 2001,218,282,1.29,,,,,,,,,
,,2001 - 2002,213,276,1.3,,,,,,,,,
,,2002 - 2003,248,265,1.07,,,,,,,,,
,,2004 - 2005,394,66,0.17,,,,,,,,,
,,2005 - 2006,355,73,0.21,,,,,,,,,
,,2006 - 2007,345,73,0.21,,,,,,,,,
,,2007 - 2008,406,111,0.27,,,,,,,,,
,,2008 - 2009,301,66,0.22,,,,,,,,,
,,2009 - 2010,166,28,0.17,,,,,,,,,
,,2010 - 2011,213,38,0.18,,,,,,,,,
,,2011 - 2012,84,20,0.24,,,,,,,,,
,,2012 - 2013,65,15,0.23,,,,,,,,,
,,2013 - 2014,244,55,0.23,,,,,,,,,
,,2014 - 2015,224,67,0.3,,,,,,,,,
,,2015 - 2016,433,150,0.35,,,,,,,,,
,,2016 - 2017,202,72,0.36,,,,,,,,,
,,2017 - 2018,127,47,0.37,,,,,,,,,
,,2018 - 2019,178,61,0.34,,,,,,,,,
,,2019 - 2020,165,382.3,2.32,,,,,,,,,
,,2020 - 2021,154,329.41,2.14,,,,,,,,,
,,2021 - 2022,184,71,0.39,,,,,,,,,
,,2022 - 2023,160,61,0.38,,,,,,,,,
,12. Chandauli,2011 - 2012,20,5,0.25,,,,,,,,,
,13. Etah,2000 - 2001,235,182,0.77,,,,,,,,,
,,2001 - 2002,47,41,0.87,,,,,,,,,
,,2002 - 2003,48,41,0.85,,,,,,,,,
,,2004 - 2005,70,11,0.16,,,,,,,,,
,,2005 - 2006,170,35,0.21,,,,,,,,,
,,2006 - 2007,127,29,0.23,,,,,,,,,
,,2009 - 2010,9,2,0.22,,,,,,,,,
,,2010 - 2011,6,1,0.17,,,,,,,,,
,,2013 - 2014,13,2,0.15,,,,,,,,,
,,2015 - 2016,27,9,0.33,,,,,,,,,
,,2016 - 2017,10,4,0.4,,,,,,,,,
,,2017 - 2018,2,1,0.5,,,,,,,,,
,,2018 - 2019,10,4,0.4,,,,,,,,,
,,2019 - 2020,7,17.6,2.51,,,,,,,,,
,,2021 - 2022,12,5,0.42,,,,,,,,,
,,2022 - 2023,4,2,0.5,,,,,,,,,
,14. Etawah,2001 - 2002,1,1,1,,,,,,,,,
,15. Firozabad,2000 - 2001,4,6,1.5,,,,,,,,,
,,2001 - 2002,3,6,2,,,,,,,,,
,,2002 - 2003,9,6,0.67,,,,,,,,,
,,2004 - 2005,10,1,0.1,,,,,,,,,
,,2006 - 2007,10,2,0.2,,,,,,,,,
,,2007 - 2008,10,3,0.3,,,,,,,,,
,,2009 - 2010,3,1,0.33,,,,,,,,,
,,2010 - 2011,23,4,0.17,,,,,,,,,
,,2011 - 2012,6,2,0.33,,,,,,,,,
